calibration method,metric,model,comb
none,ECE (W),0.028971460014581712,0.020762555122178672
none,ECE (M),0.02673863425850868,0.02035637417964271
none,cwECE (WT),0.04023165116815906,0.028296011284804256
none,cwECE (MT),0.02406931440706511,0.018143314318928114
none,cwECE (WNT),0.006635107096038357,0.004745021661545367
none,cwECE (MNT),0.0027868076517539486,0.0017879406827822925
none,NLL,0.19136625612318417,0.5182593788875729
confusion,ECE (W),0.006373625483581095,0.013217012482974693
confusion,ECE (M),0.00800244794635004,0.01057655884462252
confusion,cwECE (WT),0.008199108704449265,0.023773686400400486
confusion,cwECE (MT),0.008199108704449265,0.013978048035058565
confusion,cwECE (WNT),0.0020371488430633716,0.0035831902047199432
confusion,cwECE (MNT),0.0027798504279492966,0.0025292295278125207
confusion,NLL,0.5927883680079558,0.8832627757554327
temperature scaling,ECE (W),0.010741350409288001,0.01531259830236763
temperature scaling,ECE (M),0.012404112488180472,0.01031497343459196
temperature scaling,cwECE (WT),0.03356687784373089,0.027513083503227054
temperature scaling,cwECE (MT),0.01462762526308504,0.012291528240430847
temperature scaling,cwECE (WNT),0.004694708308934326,0.004116835161923298
temperature scaling,cwECE (MNT),0.0030889759378628884,0.001546609978497393
temperature scaling,NLL,0.13425135606680244,0.49678077924628017
ensemble temperature scaling,ECE (W),0.011107383336653252,0.015229164875483737
ensemble temperature scaling,ECE (M),0.00931139787034156,0.009608051074572974
ensemble temperature scaling,cwECE (WT),0.03477346535037619,0.029264156890634073
ensemble temperature scaling,cwECE (MT),0.016245149198393323,0.01102964081671548
ensemble temperature scaling,cwECE (WNT),0.004868593796578821,0.0041164125522242636
ensemble temperature scaling,cwECE (MNT),0.0035377811451695407,0.0015647116804029218
ensemble temperature scaling,NLL,0.13431678877790307,0.49858889013307367
imax binning,ECE (W),0.008885636925792783,0.016009325499495464
imax binning,ECE (M),0.008289558494420333,0.012771267253522295
imax binning,cwECE (WT),0.029287305048079103,0.026991065173290148
imax binning,cwECE (MT),0.014410508462353335,0.012236618616101768
imax binning,cwECE (WNT),0.004090212879580307,0.004035778387758224
imax binning,cwECE (MNT),0.002183506635382201,0.0015840542409101775
imax binning,NLL,0.13601056589879176,0.4982540449989776
none,ECE (W),0.024820874174435965,0.016811668335942116
none,ECE (M),0.022898593803246825,0.01668030418255545
none,cwECE (WT),0.03457837802701606,0.025567170354997597
none,cwECE (MT),0.020249623021511703,0.015425238816510447
none,cwECE (WNT),0.005724378632867585,0.004233984890504172
none,cwECE (MNT),0.0025403566637290684,0.001533836870365611
none,NLL,0.17477165888523521,0.4416381100526082
confusion,ECE (W),0.0034669363022594283,0.01252504199983941
confusion,ECE (M),0.009227229476501089,0.009640304392695058
confusion,cwECE (WT),0.009118336301415831,0.023318266804394156
confusion,cwECE (MT),0.009118336301415831,0.014493369551383795
confusion,cwECE (WNT),0.0015615242108009734,0.003221427037643749
confusion,cwECE (MNT),0.002753620030901593,0.0022930089722803756
confusion,NLL,0.2690378232873938,0.5134990739462968
temperature scaling,ECE (W),0.006228326063541841,0.013259933875306114
temperature scaling,ECE (M),0.008296374622873973,0.011677528565883562
temperature scaling,cwECE (WT),0.031372789727384234,0.026106787721674306
temperature scaling,cwECE (MT),0.01282911294538332,0.010877929693717949
temperature scaling,cwECE (WNT),0.004044706606319208,0.0037586884150256844
temperature scaling,cwECE (MNT),0.002652287150711886,0.0014090557041558445
temperature scaling,NLL,0.12532974029714494,0.4193550965320777
ensemble temperature scaling,ECE (W),0.011746317654275478,0.012410955658235686
ensemble temperature scaling,ECE (M),0.008167980458924657,0.01013725616193003
ensemble temperature scaling,cwECE (WT),0.034096755661964594,0.02635497851341151
ensemble temperature scaling,cwECE (MT),0.015882842175229346,0.00981204131841185
ensemble temperature scaling,cwECE (WNT),0.004661298164180766,0.003626361803130553
ensemble temperature scaling,cwECE (MNT),0.00330950058777826,0.0014033871823724581
ensemble temperature scaling,NLL,0.12751674651523087,0.42126658218894725
imax binning,ECE (W),0.002483829537058662,0.014227580838747532
imax binning,ECE (M),0.0024491975024266677,0.014151021867355859
imax binning,cwECE (WT),0.025413010154516514,0.02388069938456919
imax binning,cwECE (MT),0.011162005788163152,0.012093267189951566
imax binning,cwECE (WNT),0.0034559672480409475,0.003720162270289703
imax binning,cwECE (MNT),0.0016814539417361093,0.001420462641118288
imax binning,NLL,0.13316171048514314,0.4256417614578756
none,ECE (W),0.022133655617634408,0.015164775920586897
none,ECE (M),0.019938115328550332,0.015165265355339939
none,cwECE (WT),0.03404515168044602,0.02438962346101392
