calibration method,metric,model,comb
none,ECE (W),0.030581453412771204,0.021798931026231587
none,ECE (M),0.030187114447355275,0.020010268615512597
none,cwECE (WT),0.04763450682706659,0.031994481793169854
none,cwECE (MT),0.02601562399845369,0.01574852739524866
none,cwECE (WNT),0.007818771258230764,0.004995237997747928
none,cwECE (MNT),0.002724249964971951,0.0014306727818299823
none,NLL,0.2338079958107012,0.2886174584025596
confusion,ECE (W),0.003238942285940427,0.018784492303594188
confusion,ECE (M),0.017123934317349498,0.0125418982864446
confusion,cwECE (WT),0.01721494423499269,0.03122270681904535
confusion,cwECE (MT),0.01721494423499269,0.01964008914340812
confusion,cwECE (WNT),0.0026187091484436292,0.004698423226771542
confusion,cwECE (MNT),0.0043855575544985235,0.0034003410134030936
confusion,NLL,0.7405540998371392,0.9771414307938994
temperature scaling,ECE (W),0.008376375860945579,0.016801304835132393
temperature scaling,ECE (M),0.006291364930814851,0.015618848352858384
temperature scaling,cwECE (WT),0.035041156538217114,0.027440240263927114
temperature scaling,cwECE (MT),0.011735839579926736,0.01324526545042296
temperature scaling,cwECE (WNT),0.005262664369083109,0.004311010064305402
temperature scaling,cwECE (MNT),0.002611905672455057,0.001700683237088539
temperature scaling,NLL,0.16722388768950347,0.5050661211716466
ensemble temperature scaling,ECE (W),0.008256618494262473,0.01553157925680199
ensemble temperature scaling,ECE (M),0.005007722691643241,0.01498411320996836
ensemble temperature scaling,cwECE (WT),0.03281101547739039,0.03013388221050565
ensemble temperature scaling,cwECE (MT),0.01175542486274167,0.013184051932844398
ensemble temperature scaling,cwECE (WNT),0.004977467418333015,0.0045742037174051646
ensemble temperature scaling,cwECE (MNT),0.0027162163631698592,0.0017178529344009826
ensemble temperature scaling,NLL,0.16707980168472372,0.5099551245052127
imax binning,ECE (W),0.004144021877649848,0.01968323505817557
imax binning,ECE (M),0.0013260944187194364,0.018429171979138195
imax binning,cwECE (WT),0.03343439330358311,0.02848043562977224
imax binning,cwECE (MT),0.012353380688532312,0.016252379642345847
imax binning,cwECE (WNT),0.005120953365971919,0.004646128152250556
imax binning,cwECE (MNT),0.0022643312064038203,0.0017427727950828109
imax binning,NLL,0.17443212967477492,0.5172616455004341
none,ECE (W),0.032317355046669674,0.020908719034921426
none,ECE (M),0.030828412959973017,0.02090886192668407
