calibration method,metric,model,comb
none,ECE (W),0.05364882666666723,0.02183698782868685
none,ECE (M),0.0536082733333332,0.021837401014335674
none,cwECE (WT),0.06634778415219339,0.03872725184704571
none,cwECE (MT),0.04362384818265291,0.020704206732823804
none,cwECE (WNT),0.012664196428413465,0.00621586561011362
none,cwECE (MNT),0.008345092910669177,0.0030148781431611773
none,NLL,0.41152404203521104,0.43341139991873784
confusion,ECE (W),0.008393273012012035,0.012547685694447195
confusion,ECE (M),0.015624876443770334,0.01158819171488122
confusion,cwECE (WT),0.015613570711522983,0.032654316216488115
confusion,cwECE (MT),0.015613570711522983,0.019030920877204614
confusion,cwECE (WNT),0.0031487044488869007,0.005002146802262083
confusion,cwECE (MNT),0.005358218064066627,0.00357256565496959
confusion,NLL,0.6858307226535644,0.7274993271793748
temperature scaling,ECE (W),0.0074143747460518675,0.022858045411000186
temperature scaling,ECE (M),0.007112864635502064,0.019288072189374433
temperature scaling,cwECE (WT),0.04268567566306754,0.035988553826093936
temperature scaling,cwECE (MT),0.02307689111834025,0.016606362842126982
temperature scaling,cwECE (WNT),0.00676730103043056,0.005542014251791567
temperature scaling,cwECE (MNT),0.004331681104157212,0.0027033509754431084
temperature scaling,NLL,0.3370738204567062,0.5438918160595348
ensemble temperature scaling,ECE (W),0.010669789816194304,0.022773893300592755
ensemble temperature scaling,ECE (M),0.007519424663593246,0.019578207886217378
ensemble temperature scaling,cwECE (WT),0.04284700872767928,0.03743777989308924
ensemble temperature scaling,cwECE (MT),0.023893019696667635,0.017231852708877463
ensemble temperature scaling,cwECE (WNT),0.0066809829353465956,0.005687070472206202
ensemble temperature scaling,cwECE (MNT),0.004867513625744479,0.002875673421305567
ensemble temperature scaling,NLL,0.34034751530337976,0.5576991184302651
imax binning,ECE (W),0.009399346814253848,0.023184868528586408
imax binning,ECE (M),0.008527673614336442,0.02158009820996534
imax binning,cwECE (WT),0.038506528910533785,0.03564659888226475
imax binning,cwECE (MT),0.024656346540798384,0.018158617262637265
imax binning,cwECE (WNT),0.006173416766533668,0.005479598292408815
imax binning,cwECE (MNT),0.0044163150040123665,0.0028683129649093517
imax binning,NLL,0.348043787102997,0.5621997783501835
none,ECE (W),0.05471237999999849,0.026635488965245348
none,ECE (M),0.05283753999999981,0.02565705226952252
none,cwECE (WT),0.07179326725947749,0.041757231882124726
none,cwECE (MT),0.04170903054379605,0.019815827228614365
none,cwECE (WNT),0.013366843936063109,0.006532329944614982
none,cwECE (MNT),0.00876729297547686,0.0026655507368825394
none,NLL,0.4106254671222331,0.49187589192468667
confusion,ECE (W),0.009266401450180354,0.01772005987109146
confusion,ECE (M),0.01377126091957231,0.013340097296051692
confusion,cwECE (WT),0.013429492993881575,0.0357536582495023
confusion,cwECE (MT),0.013429492993881575,0.02220060118833892
confusion,cwECE (WNT),0.002511693443206239,0.005399880497331928
confusion,cwECE (MNT),0.0049079146915796965,0.00417570958718604
confusion,NLL,0.8870100224347145,0.8558472025784151
temperature scaling,ECE (W),0.013686900381234745,0.018764646948263117
temperature scaling,ECE (M),0.010863427231958907,0.016854588945875004
temperature scaling,cwECE (WT),0.05113576696295834,0.03642261547743704
temperature scaling,cwECE (MT),0.02285532540936239,0.014797245373799436
temperature scaling,cwECE (WNT),0.007369536561716551,0.0053600850815058495
temperature scaling,cwECE (MNT),0.004433942532078921,0.0022814409226356814
temperature scaling,NLL,0.34075634194391063,0.4710753508697919
ensemble temperature scaling,ECE (W),0.010559120641943393,0.01985892271086309
ensemble temperature scaling,ECE (M),0.010379271168306245,0.014460968884093824
ensemble temperature scaling,cwECE (WT),0.05050965559471893,0.03573440463234867
ensemble temperature scaling,cwECE (MT),0.0229298255984008,0.01395505929861918
ensemble temperature scaling,cwECE (WNT),0.007289128882881033,0.0052581488014044305
ensemble temperature scaling,cwECE (MNT),0.0048142376910247755,0.0023165200425097755
ensemble temperature scaling,NLL,0.3440956532274208,0.4751355382674509
imax binning,ECE (W),0.012859369343409283,0.019028313098525713
imax binning,ECE (M),0.012859369343409335,0.018587840442657527
imax binning,cwECE (WT),0.04356987386068923,0.03339704903728118
imax binning,cwECE (MT),0.02363488535562836,0.015450392560733783
imax binning,cwECE (WNT),0.006759765802609527,0.005124440130579949
imax binning,cwECE (MNT),0.0040829942226058204,0.0024872382758449017
imax binning,NLL,0.3524533405831431,0.4778374137748931
none,ECE (W),0.05708973000000033,0.02583377915355869
none,ECE (M),0.05704436333333333,0.024765421696996193
none,cwECE (WT),0.0723373226399454,0.04197120900846748
none,cwECE (MT),0.04197203112172064,0.020929838439142076
none,cwECE (WNT),0.013202507821825993,0.00658179086784524
none,cwECE (MNT),0.007828478579313968,0.003197060877376229
none,NLL,0.3946319621887063,0.4567933055471927
confusion,ECE (W),0.005889184828342603,0.016267255934675054
confusion,ECE (M),0.014827305033093404,0.013226287059266723
confusion,cwECE (WT),0.01769609513366941,0.029102139846593843
confusion,cwECE (MT),0.01769609513366941,0.014497925893231872
confusion,cwECE (WNT),0.004297639741425605,0.00469797555930811
confusion,cwECE (MNT),0.005766646078634934,0.0031181649918582016
confusion,NLL,0.7802789875269479,0.7337825848980846
temperature scaling,ECE (W),0.015547901847290765,0.020901426276255405
temperature scaling,ECE (M),0.01394075163726115,0.019660755501869107
temperature scaling,cwECE (WT),0.049724871479318256,0.035128122395248304
temperature scaling,cwECE (MT),0.027230851601501564,0.016792523366799116
temperature scaling,cwECE (WNT),0.008082852504903225,0.005447007812812663
temperature scaling,cwECE (MNT),0.005256088308820514,0.0021564767820424343
temperature scaling,NLL,0.3294126527445954,0.4668595227992668
ensemble temperature scaling,ECE (W),0.016605627629229423,0.02024172919229683
ensemble temperature scaling,ECE (M),0.01748690398073232,0.018689937834979856
ensemble temperature scaling,cwECE (WT),0.04870502083170935,0.034871400258285286
ensemble temperature scaling,cwECE (MT),0.02795959369351695,0.015635883040012313
ensemble temperature scaling,cwECE (WNT),0.007822897729510208,0.005360005181815505
ensemble temperature scaling,cwECE (MNT),0.005545407200883351,0.002169724140743001
ensemble temperature scaling,NLL,0.3338830535702552,0.4755253424442576
imax binning,ECE (W),0.0172124786691971,0.020315018739952048
imax binning,ECE (M),0.016420234901884143,0.02034101302000516
imax binning,cwECE (WT),0.04082779141342012,0.03331227027955262
imax binning,cwECE (MT),0.02388674401558142,0.01894157321815296
imax binning,cwECE (WNT),0.00716337784345419,0.005437168226093388
imax binning,cwECE (MNT),0.004923527533266272,0.002283740733772754
imax binning,NLL,0.34179966053989064,0.48001140018498
none,ECE (W),0.05220837333333367,0.019988377423171527
none,ECE (M),0.04991978666666675,0.01998893142096318
none,cwECE (WT),0.06751651823299834,0.03797775994436473
none,cwECE (MT),0.038636073207409395,0.017888847521908925
none,cwECE (WNT),0.012306173069286535,0.0058545074663749076
none,cwECE (MNT),0.007993208411891401,0.0024284412029688153
none,NLL,0.3837986423680109,0.3055616483959825
confusion,ECE (W),0.0064197256957189905,0.016011658082981724
confusion,ECE (M),0.012071758335217642,0.015952577079671928
confusion,cwECE (WT),0.014406618519078207,0.03357113968955161
confusion,cwECE (MT),0.014406618519078207,0.015451787222895818
confusion,cwECE (WNT),0.003954720012884357,0.0048634326459216625
confusion,cwECE (MNT),0.00556322478741559,0.0027737578185108025
confusion,NLL,0.6838786961453202,0.4640736009794157
temperature scaling,ECE (W),0.015542430046061128,0.02013823206975876
temperature scaling,ECE (M),0.015243402385195745,0.019850820530304285
temperature scaling,cwECE (WT),0.049621550808487576,0.03462520781101679
temperature scaling,cwECE (MT),0.01991594625450949,0.013178017986728635
temperature scaling,cwECE (WNT),0.00755907499071448,0.00506415706612329
temperature scaling,cwECE (MNT),0.004158039539328685,0.001993198793568648
temperature scaling,NLL,0.32342487697997857,0.27983968125187897
ensemble temperature scaling,ECE (W),0.012283491126937935,0.019473213922369795
ensemble temperature scaling,ECE (M),0.016315845791456455,0.018064759129208015
ensemble temperature scaling,cwECE (WT),0.047431113150295884,0.03586097661815529
ensemble temperature scaling,cwECE (MT),0.01980692470628932,0.013246954063271022
ensemble temperature scaling,cwECE (WNT),0.0073620039995109295,0.005148588695567314
ensemble temperature scaling,cwECE (MNT),0.004428763323256729,0.0020077802492174477
ensemble temperature scaling,NLL,0.3261092432960088,0.2791731796818579
imax binning,ECE (W),0.013613020814129226,0.019838636815852587
imax binning,ECE (M),0.013613020814129222,0.01989550135438418
imax binning,cwECE (WT),0.040276563795471454,0.03454829225695389
imax binning,cwECE (MT),0.018547827492904824,0.014493069639266382
imax binning,cwECE (WNT),0.0061863237036428684,0.005124925720284621
imax binning,cwECE (MNT),0.0034064032228899323,0.002154902175764177
imax binning,NLL,0.33301299994123873,0.281222540122088
none,ECE (W),0.05368781000000003,0.02398488241252226
none,ECE (M),0.05291889666666649,0.021937987685066242
none,cwECE (WT),0.06572409487669642,0.03981856830781465
none,cwECE (MT),0.039950880377116596,0.021684724506994168
none,cwECE (WNT),0.012893107951905281,0.006403398271665003
none,cwECE (MNT),0.007877953687265361,0.0030713224906141054
none,NLL,0.43462827906492113,0.4412929496490821
confusion,ECE (W),0.008746602336378926,0.016438362469164903
confusion,ECE (M),0.013511534427723043,0.013332320989745138
confusion,cwECE (WT),0.013685788800836374,0.036870955909799566
confusion,cwECE (MT),0.013685788800836374,0.016589613882347806
confusion,cwECE (WNT),0.003303505489051795,0.0053202065780540014
confusion,cwECE (MNT),0.005278273680177192,0.0030864266080331826
confusion,NLL,0.6935964657298583,0.5704672253137729
temperature scaling,ECE (W),0.011279073555502558,0.019906396320489003
temperature scaling,ECE (M),0.010519147939065986,0.019936894862738426
temperature scaling,cwECE (WT),0.0410950364417889,0.03507855749368237
temperature scaling,cwECE (MT),0.01576160100069984,0.018684530999770615
temperature scaling,cwECE (WNT),0.006810379998245256,0.0052695010983316035
temperature scaling,cwECE (MNT),0.004137917566066565,0.002957618113614089
temperature scaling,NLL,0.35585210663913297,0.4016937217647341
ensemble temperature scaling,ECE (W),0.010186196778358332,0.019475476201829864
ensemble temperature scaling,ECE (M),0.008782774270010866,0.019514295214947328
ensemble temperature scaling,cwECE (WT),0.04244601049991324,0.03558942538590309
ensemble temperature scaling,cwECE (MT),0.0158582593855884,0.01843904938854652
ensemble temperature scaling,cwECE (WNT),0.007110099371649454,0.005347490314304751
ensemble temperature scaling,cwECE (MNT),0.004332303896916593,0.0030123837883271574
ensemble temperature scaling,NLL,0.35789516540581084,0.40251855210804494
imax binning,ECE (W),0.010972345081546445,0.0192898970901177
imax binning,ECE (M),0.010972345081546462,0.01828883440276971
imax binning,cwECE (WT),0.037756533748324536,0.03413250532013034
imax binning,cwECE (MT),0.01880442535295817,0.019104721343439168
imax binning,cwECE (WNT),0.006726331260120261,0.005474155429907786
imax binning,cwECE (MNT),0.0037089322654360957,0.0029134637013717014
imax binning,NLL,0.3690100783905433,0.40880231825443636
none,ECE (W),0.04614973666666547,0.0230482205534291
none,ECE (M),0.04477213666666671,0.022131528620485924
none,cwECE (WT),0.062313658509659434,0.03897348746155267
none,cwECE (MT),0.03569323059131998,0.01772773385229659
none,cwECE (WNT),0.0115692176103268,0.005978431755829311
none,cwECE (MNT),0.007339099300517816,0.001511085118649874
none,NLL,0.3804789592352942,0.2911229003029016
confusion,ECE (W),0.007664704708549851,0.009356982519023525
confusion,ECE (M),0.0148924300060287,0.007326037515760944
confusion,cwECE (WT),0.01625930449831066,0.02287017062010297
confusion,cwECE (MT),0.01625930449831066,0.012305147316268228
confusion,cwECE (WNT),0.0030619920381914517,0.003540584425654701
confusion,cwECE (MNT),0.004885478200357787,0.0023313077134747865
confusion,NLL,0.7688362296901456,0.5550629174387632
temperature scaling,ECE (W),0.012412384933608104,0.01822252831150317
temperature scaling,ECE (M),0.015715233726017956,0.015748611118343907
temperature scaling,cwECE (WT),0.04539811491075834,0.032922795419270956
temperature scaling,cwECE (MT),0.01927525126362766,0.012993208094415629
temperature scaling,cwECE (WNT),0.007189363133727781,0.0047631345205678835
temperature scaling,cwECE (MNT),0.004151040551169475,0.0014536736253825066
temperature scaling,NLL,0.32231457733915225,0.2638455210953702
ensemble temperature scaling,ECE (W),0.01489369731451979,0.018376124225364825
ensemble temperature scaling,ECE (M),0.0166402098986692,0.014514243079863655
ensemble temperature scaling,cwECE (WT),0.048739960475570075,0.03392824493937273
ensemble temperature scaling,cwECE (MT),0.01979551556955977,0.012780935657915677
ensemble temperature scaling,cwECE (WNT),0.007685038244048009,0.0048481985408854195
ensemble temperature scaling,cwECE (MNT),0.004336276295043769,0.001297866005281499
ensemble temperature scaling,NLL,0.32383856568418923,0.265410995301441
