calibration method,metric,model,comb
none,ECE (W),0.03481575495004652,0.019637757874721773
none,ECE (M),0.034172575493653615,0.01847043755235935
none,cwECE (WT),0.05682698831687525,0.032839306567978
none,cwECE (MT),0.02919851218260635,0.01593755543088679
none,cwECE (WNT),0.009362396208476568,0.0050306048421422354
none,cwECE (MNT),0.0037748041995840503,0.0018746000967598253
none,NLL,0.2542640560878255,0.35681112069737536
confusion,ECE (W),0.005605163585350261,0.017865959344247048
confusion,ECE (M),0.016127545488572283,0.012547588361017516
confusion,cwECE (WT),0.01650569096311978,0.0323076610912577
confusion,cwECE (MT),0.01650569096311978,0.018416531581304983
confusion,cwECE (WNT),0.0026631019678114046,0.004727024108812462
confusion,cwECE (MNT),0.0046051326395866185,0.0030450744786379128
confusion,NLL,0.5318359122760874,0.7445174664200889
temperature scaling,ECE (W),0.014716145983374982,0.017326384425745293
temperature scaling,ECE (M),0.013616361821968832,0.016788397157661762
temperature scaling,cwECE (WT),0.040772149386366335,0.03154859503180604
temperature scaling,cwECE (MT),0.011724009303460996,0.012921369346687247
temperature scaling,cwECE (WNT),0.005867540851471684,0.004695908828631202
temperature scaling,cwECE (MNT),0.0026032315304671313,0.001805896210810412
temperature scaling,NLL,0.2018165375088784,0.5112152797500401
ensemble temperature scaling,ECE (W),0.011156511460748008,0.017078007240498277
ensemble temperature scaling,ECE (M),0.013527287578576333,0.015469491125980922
ensemble temperature scaling,cwECE (WT),0.042180396208959726,0.03136062278406065
ensemble temperature scaling,cwECE (MT),0.013398411676702277,0.012652195425173735
ensemble temperature scaling,cwECE (WNT),0.0059677567212657445,0.004652990963118556
ensemble temperature scaling,cwECE (MNT),0.0031369904115527494,0.001849287938064359
ensemble temperature scaling,NLL,0.20518338393758223,0.5243538051354364
imax binning,ECE (W),0.011936315162119404,0.019312565573088622
imax binning,ECE (M),0.012348608215847205,0.018589469746946256
imax binning,cwECE (WT),0.035134885630599,0.03290969350325216
imax binning,cwECE (MT),0.011723905487810304,0.014508671074599227
imax binning,cwECE (WNT),0.00508724789342629,0.004888452842398754
imax binning,cwECE (MNT),0.002427215580044293,0.0018017522458315665
imax binning,NLL,0.2121501895982231,0.5280604182255866
none,ECE (W),0.03148133948445324,0.01971992630537968
none,ECE (M),0.026153384695450456,0.01972010142403416
none,cwECE (WT),0.04618915614271375,0.03314579173701727
none,cwECE (MT),0.026540156994888413,0.016626637092223333
none,cwECE (WNT),0.007889196404098473,0.004906021806938668
none,cwECE (MNT),0.0037143775455684494,0.0023886592588720063
none,NLL,0.23129497403112453,0.3689536892124312
confusion,ECE (W),0.008614180937905239,0.015156814594944142
confusion,ECE (M),0.01643203901194687,0.015389181151704564
confusion,cwECE (WT),0.016483310702182195,0.029542818245678136
confusion,cwECE (MT),0.016483310702182195,0.014215953688155227
confusion,cwECE (WNT),0.002999531600282614,0.003953235442503469
confusion,cwECE (MNT),0.004217307357893929,0.0024174639301934634
confusion,NLL,0.4497158513865819,0.6103824224474566
