calibration method,metric,model,comb,comb (post cal)
MAP_CI,ECE (W),0.0226662739201726,0.015448406282611703,0.01125847148675424
MAP_CI,ECE (M),0.021948246020426485,0.0146556965376376,0.011407075946757333
MAP_CI,cwECE (WT),0.037661883872021226,0.02623863649476351,0.02401118536398033
MAP_CI,cwECE (MT),0.018975631118455648,0.011795659775153008,0.010342968282538206
MAP_CI,cwECE (WNT),0.005764567538668676,0.003801888946208586,0.0032751494433451447
MAP_CI,cwECE (MNT),0.0028919684052926818,0.0010670773686578543,0.0011078555178909305
MAP_CI,NLL,0.15374799537531772,0.09432655364615435,0.07881197103668011
MAP_CI,ECE (W),0.0226662739201726,0.015448406282611703,0.01125847148675424
MAP_CI,ECE (M),0.021948246020426485,0.0146556965376376,0.011407075946757333
MAP_CI,cwECE (WT),0.037661883872021226,0.02623863649476351,0.02401118536398033
MAP_CI,cwECE (MT),0.018975631118455648,0.011795659775153008,0.010342968282538206
MAP_CI,cwECE (WNT),0.005764567538668676,0.003801888946208586,0.0032751494433451447
MAP_CI,cwECE (MNT),0.0028919684052926818,0.0010670773686578543,0.0011078555178909305
MAP_CI,NLL,0.15374799537531772,0.09432655364615435,0.07881197103668011
uncal_MAP_CI,ECE (W),0.02897146127174892,0.019350163375579595,0.01664741950308261
uncal_MAP_CI,ECE (M),0.026738578680310852,0.01889777522485347,0.016668310400527346
uncal_MAP_CI,cwECE (WT),0.04023165258422056,0.026110287267120474,0.02735717191076039
uncal_MAP_CI,cwECE (MT),0.02406916372571501,0.01639976929493034,0.013525413888157678
uncal_MAP_CI,cwECE (WNT),0.006635107219361539,0.00421598273492306,0.003979157825371424
uncal_MAP_CI,cwECE (MNT),0.0027868092702522658,0.0012395118627160774,0.0012000049103333844
uncal_MAP_CI,NLL,0.19136625483669434,0.1212438480244735,0.0971239070993725
MAP_CI,ECE (W),0.020086176716427335,0.013657584105113583,0.010531941037589594
MAP_CI,ECE (M),0.018523808299012755,0.01315633214366843,0.01035021463779961
MAP_CI,cwECE (WT),0.033425291104113034,0.0245937113477911,0.02562630754689501
MAP_CI,cwECE (MT),0.0155845525832328,0.010493838010060033,0.008977571780610372
MAP_CI,cwECE (WNT),0.005073603968291396,0.003638984344650921,0.003382817589983854
MAP_CI,cwECE (MNT),0.0025038210315888997,0.0011208645958321883,0.0011224480924684516
MAP_CI,NLL,0.14208889779611697,0.08935669738359567,0.07520804162922795
MAP_CI,ECE (W),0.020086176716427335,0.013657584105113583,0.010531941037589594
MAP_CI,ECE (M),0.018523808299012755,0.01315633214366843,0.01035021463779961
MAP_CI,cwECE (WT),0.033425291104113034,0.0245937113477911,0.02562630754689501
MAP_CI,cwECE (MT),0.0155845525832328,0.010493838010060033,0.008977571780610372
MAP_CI,cwECE (WNT),0.005073603968291396,0.003638984344650921,0.003382817589983854
MAP_CI,cwECE (MNT),0.0025038210315888997,0.0011208645958321883,0.0011224480924684516
MAP_CI,NLL,0.14208889779611697,0.08935669738359567,0.07520804162922795
uncal_MAP_CI,ECE (W),0.024820875080646766,0.016835136368272437,0.01429811292814761
uncal_MAP_CI,ECE (M),0.022898609431720306,0.015660120417097273,0.013476629441290253
uncal_MAP_CI,cwECE (WT),0.03457837894737957,0.024394056478941356,0.02476932575195351
uncal_MAP_CI,cwECE (MT),0.020249623167780735,0.013763806685331698,0.010906579887702477
uncal_MAP_CI,cwECE (WNT),0.005724378726085535,0.0039046738301201193,0.0037159571860166745
uncal_MAP_CI,cwECE (MNT),0.0025403037173782348,0.0012058661208309881,0.0012003795227108246
uncal_MAP_CI,NLL,0.17477165792297342,0.11254741780881265,0.09027861138560647
MAP_CI,ECE (W),0.017165825295661467,0.011337127229432548,0.010256315769031035
MAP_CI,ECE (M),0.015183223870496202,0.01080444012650751,0.008081426216078106
MAP_CI,cwECE (WT),0.03427446282310962,0.021974192959015097,0.02183343801719755
MAP_CI,cwECE (MT),0.018905462013191026,0.010555170365141761,0.009452859645836007
MAP_CI,cwECE (WNT),0.004991438875651201,0.0032543863038370807,0.00302509104935689
MAP_CI,cwECE (MNT),0.002318449913849514,0.0010259846929847913,0.0010162864306400214
MAP_CI,NLL,0.12413884789780393,0.07337015415514603,0.06201708045582564
MAP_CI,ECE (W),0.017165825295661467,0.011337127229432548,0.010256315769031035
MAP_CI,ECE (M),0.015183223870496202,0.01080444012650751,0.008081426216078106
MAP_CI,cwECE (WT),0.03427446282310962,0.021974192959015097,0.02183343801719755
MAP_CI,cwECE (MT),0.018905462013191026,0.010555170365141761,0.009452859645836007
MAP_CI,cwECE (WNT),0.004991438875651201,0.0032543863038370807,0.00302509104935689
MAP_CI,cwECE (MNT),0.002318449913849514,0.0010259846929847913,0.0010162864306400214
MAP_CI,NLL,0.12413884789780393,0.07337015415514603,0.06201708045582564
uncal_MAP_CI,ECE (W),0.022133656439802567,0.015321277266740435,0.014069325640948217
uncal_MAP_CI,ECE (M),0.019938223499339207,0.011943838642503977,0.009937250800070564
uncal_MAP_CI,cwECE (WT),0.034045152605863126,0.02367396931175343,0.024323510538916123
uncal_MAP_CI,cwECE (MT),0.022645703870554493,0.011776697671295381,0.0100727306073947
uncal_MAP_CI,cwECE (WNT),0.005494398083668097,0.0035773091711080026,0.0034103247484798004
uncal_MAP_CI,cwECE (MNT),0.0022509196684039655,0.0010299538326826517,0.001027367742093809
uncal_MAP_CI,NLL,0.15175840939180596,0.09033265292128285,0.07304066140617695
MAP_CI,ECE (W),0.014955748600314955,0.012170916083734374,0.009879599187448644
MAP_CI,ECE (M),0.011795326422860434,0.01218018057123834,0.009347884227779692
MAP_CI,cwECE (WT),0.02962667110398549,0.021343914335498024,0.02282644282918244
MAP_CI,cwECE (MT),0.012271752770632685,0.010791264041765397,0.008685735439414892
MAP_CI,cwECE (WNT),0.004213856312873867,0.003082176720747782,0.0029516966327056996
MAP_CI,cwECE (MNT),0.0020162532287900554,0.0011589410028504659,0.0011347722044451653
MAP_CI,NLL,0.11236439228152242,0.06726860829939958,0.057223792003889884
MAP_CI,ECE (W),0.014955748600314955,0.012170916083734374,0.009879599187448644
MAP_CI,ECE (M),0.011795326422860434,0.01218018057123834,0.009347884227779692
MAP_CI,cwECE (WT),0.02962667110398549,0.021343914335498024,0.02282644282918244
MAP_CI,cwECE (MT),0.012271752770632685,0.010791264041765397,0.008685735439414892
MAP_CI,cwECE (WNT),0.004213856312873867,0.003082176720747782,0.0029516966327056996
MAP_CI,cwECE (MNT),0.0020162532287900554,0.0011589410028504659,0.0011347722044451653
MAP_CI,NLL,0.11236439228152242,0.06726860829939958,0.057223792003889884
uncal_MAP_CI,ECE (W),0.019377170457682495,0.013490131216382867,0.011294615816703992
uncal_MAP_CI,ECE (M),0.016641195110310786,0.013173325409106502,0.011203500111350786
uncal_MAP_CI,cwECE (WT),0.03115184886105628,0.02137336677295141,0.021999726063828735
uncal_MAP_CI,cwECE (MT),0.015300376625873658,0.011345442083346114,0.009622082551422976
uncal_MAP_CI,cwECE (WNT),0.0048494014657248005,0.003216284482308189,0.003071228743509481
uncal_MAP_CI,cwECE (MNT),0.00203312988693855,0.0010892129820616672,0.0010546701043967594
uncal_MAP_CI,NLL,0.13566548240346757,0.08131120954994998,0.06611535742770516
MAP_CI,ECE (W),0.02101368628427531,0.01398233959752954,0.011695160647637383
MAP_CI,ECE (M),0.01948896374816954,0.012899825913646589,0.009798306786620699
MAP_CI,cwECE (WT),0.03579037223867154,0.023499537219631363,0.02273892168206418
MAP_CI,cwECE (MT),0.018471039362452354,0.011593905369563623,0.009877101673601884
MAP_CI,cwECE (WNT),0.005677441750283923,0.003506762929378261,0.003191994540513296
MAP_CI,cwECE (MNT),0.002340022283535247,0.001026617872241289,0.0010364564938689386
MAP_CI,NLL,0.15480095410334654,0.09164371622498584,0.07647707722077249
MAP_CI,ECE (W),0.02101368628427531,0.01398233959752954,0.011695160647637383
MAP_CI,ECE (M),0.01948896374816954,0.012899825913646589,0.009798306786620699
MAP_CI,cwECE (WT),0.03579037223867154,0.023499537219631363,0.02273892168206418
MAP_CI,cwECE (MT),0.018471039362452354,0.011593905369563623,0.009877101673601884
MAP_CI,cwECE (WNT),0.005677441750283923,0.003506762929378261,0.003191994540513296
MAP_CI,cwECE (MNT),0.002340022283535247,0.001026617872241289,0.0010364564938689386
MAP_CI,NLL,0.15480095410334654,0.09164371622498584,0.07647707722077249
uncal_MAP_CI,ECE (W),0.026607801756582828,0.01638992947021011,0.014168923595350966
uncal_MAP_CI,ECE (M),0.024229375577963813,0.01639032222588501,0.014182924563306259
uncal_MAP_CI,cwECE (WT),0.03905416909462018,0.025249431571506185,0.02439851255507807
uncal_MAP_CI,cwECE (MT),0.022636159502267196,0.01402812103454103,0.012027439493442723
uncal_MAP_CI,cwECE (WNT),0.006410598973273199,0.003999569940464642,0.0037015965131687394
uncal_MAP_CI,cwECE (MNT),0.0022746816601353264,0.0009637176400549497,0.0009456638324741855
uncal_MAP_CI,NLL,0.1907297931656986,0.11853520725669588,0.09520684382010652
MAP_CI,ECE (W),0.019275509312031473,0.012946764783560976,0.010060121271987833
MAP_CI,ECE (M),0.017004267576347095,0.012955077642875441,0.010210370459948754
MAP_CI,cwECE (WT),0.03388003869351421,0.022963169956937136,0.023263621766110805
MAP_CI,cwECE (MT),0.020252773238440047,0.008522463463624574,0.006366916773207977
MAP_CI,cwECE (WNT),0.005127511828301595,0.003173557953676038,0.003092647924898925
MAP_CI,cwECE (MNT),0.002261362454546128,0.000695140722085252,0.0006682002276343919
MAP_CI,NLL,0.13286794924391265,0.07745078902612913,0.06562373095120314
MAP_CI,ECE (W),0.019275509312031473,0.012946764783560976,0.010060121271987833
MAP_CI,ECE (M),0.017004267576347095,0.012955077642875441,0.010210370459948754
MAP_CI,cwECE (WT),0.03388003869351421,0.022963169956937136,0.023263621766110805
MAP_CI,cwECE (MT),0.020252773238440047,0.008522463463624574,0.006366916773207977
MAP_CI,cwECE (WNT),0.005127511828301595,0.003173557953676038,0.003092647924898925
MAP_CI,cwECE (MNT),0.002261362454546128,0.000695140722085252,0.0006682002276343919
MAP_CI,NLL,0.13286794924391265,0.07745078902612913,0.06562373095120314
uncal_MAP_CI,ECE (W),0.02481624638464186,0.0166703003819199,0.013762952802973861
uncal_MAP_CI,ECE (M),0.021609652429271275,0.01426813479867172,0.012194642628532348
uncal_MAP_CI,cwECE (WT),0.0363398266414577,0.02566833587763211,0.026135750146012715
