calibration method,metric,model,comb,comb (post cal)
MAP_CI,ECE (W),0.023111088227575634,0.016884761343154447,0.012631721627947833
MAP_CI,ECE (M),0.022079460017053777,0.016223344808083528,0.012303745267827487
MAP_CI,cwECE (WT),0.04240501961554731,0.028291032133421927,0.02648021538201506
MAP_CI,cwECE (MT),0.019979853882138826,0.012375110133860504,0.0091948768599725
MAP_CI,cwECE (WNT),0.006816453071095024,0.004204846835571597,0.003745326877614529
MAP_CI,cwECE (MNT),0.002655595701388293,0.001238616828478329,0.0012492497148409436
MAP_CI,NLL,0.1933938043223108,0.1096010180992292,0.09237405542164093
MAP_CI,ECE (W),0.023111088227575634,0.016884761343154447,0.012631721627947833
MAP_CI,ECE (M),0.022079460017053777,0.016223344808083528,0.012303745267827487
MAP_CI,cwECE (WT),0.04240501961554731,0.028291032133421927,0.02648021538201506
MAP_CI,cwECE (MT),0.019979853882138826,0.012375110133860504,0.0091948768599725
MAP_CI,cwECE (WNT),0.006816453071095024,0.004204846835571597,0.003745326877614529
MAP_CI,cwECE (MNT),0.002655595701388293,0.001238616828478329,0.0012492497148409436
MAP_CI,NLL,0.1933938043223108,0.1096010180992292,0.09237405542164093
uncal_MAP_CI,ECE (W),0.030581444741292797,0.02052776880423169,0.017583681923126454
uncal_MAP_CI,ECE (M),0.030187107816973896,0.019791774808935687,0.016504335192172356
uncal_MAP_CI,cwECE (WT),0.04763449837240501,0.03266223864350731,0.03197843596828229
uncal_MAP_CI,cwECE (MT),0.02601562366016084,0.014800138933451367,0.010907978179847167
uncal_MAP_CI,cwECE (WNT),0.007818770361910605,0.004874438474648944,0.004495346200877468
uncal_MAP_CI,cwECE (MNT),0.0027241785707491435,0.0013512132935057893,0.0013457665829300267
uncal_MAP_CI,NLL,0.23380800448580083,0.13591699545792899,0.11111570734147942
MAP_CI,ECE (W),0.023599404215147612,0.014637865575305685,0.010679743099043534
MAP_CI,ECE (M),0.023288823550049405,0.012800813453999168,0.009200923287158094
MAP_CI,cwECE (WT),0.04290929160899956,0.026016712173890122,0.025984720420946666
MAP_CI,cwECE (MT),0.02236154666405343,0.01447795875922261,0.012139439911382669
MAP_CI,cwECE (WNT),0.006969935985737421,0.0037793534873431568,0.00346179668711421
MAP_CI,cwECE (MNT),0.00308345827490044,0.0013617634711125032,0.0013250658948477435
MAP_CI,NLL,0.1913425096527242,0.10029533407337901,0.08455539294079882
MAP_CI,ECE (W),0.023599404215147612,0.014637865575305685,0.010679743099043534
MAP_CI,ECE (M),0.023288823550049405,0.012800813453999168,0.009200923287158094
MAP_CI,cwECE (WT),0.04290929160899956,0.026016712173890122,0.025984720420946666
MAP_CI,cwECE (MT),0.02236154666405343,0.01447795875922261,0.012139439911382669
MAP_CI,cwECE (WNT),0.006969935985737421,0.0037793534873431568,0.00346179668711421
MAP_CI,cwECE (MNT),0.00308345827490044,0.0013617634711125032,0.0013250658948477435
MAP_CI,NLL,0.1913425096527242,0.10029533407337901,0.08455539294079882
uncal_MAP_CI,ECE (W),0.032317346659381754,0.01926663633412071,0.01647816856839122
uncal_MAP_CI,ECE (M),0.030828410482212968,0.01926679157630061,0.016345930998544443
uncal_MAP_CI,cwECE (WT),0.047431893134680145,0.031026671679676494,0.030958465703231415
