calibration method,metric,model,comb,comb (post cal)
MAP_CI,ECE (W),0.033563737357928815,0.02005285550715402,0.013951169772511901
MAP_CI,ECE (M),0.03242897474150783,0.019193744162098667,0.010515967393244691
MAP_CI,cwECE (WT),0.05367062512731228,0.03688559576263667,0.032831186964181955
MAP_CI,cwECE (MT),0.031124940775019667,0.014401073163773145,0.01352863660129519
MAP_CI,cwECE (WNT),0.009722465874590816,0.005320998919669335,0.004420365506038433
MAP_CI,cwECE (MNT),0.006352474689646564,0.0024374926746773976,0.0023668034608322207
MAP_CI,NLL,0.35833179851544505,0.1521305513142499,0.1343784301568826
MAP_CI,ECE (W),0.033563737357928815,0.02005285550715402,0.013951169772511901
MAP_CI,ECE (M),0.03242897474150783,0.019193744162098667,0.010515967393244691
MAP_CI,cwECE (WT),0.05367062512731228,0.03688559576263667,0.032831186964181955
MAP_CI,cwECE (MT),0.031124940775019667,0.014401073163773145,0.01352863660129519
MAP_CI,cwECE (WNT),0.009722465874590816,0.005320998919669335,0.004420365506038433
MAP_CI,cwECE (MNT),0.006352474689646564,0.0024374926746773976,0.0023668034608322207
MAP_CI,NLL,0.35833179851544505,0.1521305513142499,0.1343784301568826
uncal_MAP_CI,ECE (W),0.05364871972241006,0.02178729858346925,0.015534108898329171
uncal_MAP_CI,ECE (M),0.053609004629989576,0.021787713953979236,0.014097490812039874
uncal_MAP_CI,cwECE (WT),0.06634766495650732,0.03937852897937644,0.03531424409485297
uncal_MAP_CI,cwECE (MT),0.04362380687020902,0.01868655371973526,0.01718014211135443
uncal_MAP_CI,cwECE (WNT),0.01266418237860567,0.0060391503487772615,0.005121536535263463
uncal_MAP_CI,cwECE (MNT),0.0083490091873848,0.0026669601096521436,0.0025657132147273937
uncal_MAP_CI,NLL,0.41152413774660057,0.17944911765948718,0.1537517820955629
MAP_CI,ECE (W),0.03057538145684397,0.019419432590928813,0.011987919658818087
MAP_CI,ECE (M),0.030582676304270702,0.01745888370383687,0.008451955107566005
MAP_CI,cwECE (WT),0.05849765226054167,0.039362663826155234,0.03458498514181304
MAP_CI,cwECE (MT),0.029770553350177024,0.01338235175337529,0.011384376478334063
MAP_CI,cwECE (WNT),0.010261362142655241,0.005501254734652869,0.004633308947969291
MAP_CI,cwECE (MNT),0.006578774839773589,0.0019834669008514383,0.0018733277010187308
MAP_CI,NLL,0.3586140860523606,0.13950394210631478,0.12470745359453876
MAP_CI,ECE (W),0.03057538145684397,0.019419432590928813,0.011987919658818087
MAP_CI,ECE (M),0.030582676304270702,0.01745888370383687,0.008451955107566005
MAP_CI,cwECE (WT),0.05849765226054167,0.039362663826155234,0.03458498514181304
MAP_CI,cwECE (MT),0.029770553350177024,0.01338235175337529,0.011384376478334063
MAP_CI,cwECE (WNT),0.010261362142655241,0.005501254734652869,0.004633308947969291
MAP_CI,cwECE (MNT),0.006578774839773589,0.0019834669008514383,0.0018733277010187308
MAP_CI,NLL,0.3586140860523606,0.13950394210631478,0.12470745359453876
uncal_MAP_CI,ECE (W),0.05471229689039917,0.025088485962059762,0.020374116115578177
uncal_MAP_CI,ECE (M),0.05283866619702839,0.02313430599738618,0.015247065703706288
uncal_MAP_CI,cwECE (WT),0.07179318485274702,0.0422604619557259,0.03699798014728301
uncal_MAP_CI,cwECE (MT),0.041779840894915,0.018081343726043936,0.015716104335152963
uncal_MAP_CI,cwECE (WNT),0.013366835049312128,0.006333131924137057,0.005256060588176129
uncal_MAP_CI,cwECE (MNT),0.008777181262952023,0.0023576017731233457,0.0021080976377075987
uncal_MAP_CI,NLL,0.4106255630903432,0.16453075185483762,0.14217702223950565
MAP_CI,ECE (W),0.03659340794706506,0.020218725116569906,0.012934277444082268
MAP_CI,ECE (M),0.035413474129950204,0.02000747033156743,0.011528650530188223
MAP_CI,cwECE (WT),0.05653753416941247,0.03601263845217913,0.030687412927451398
MAP_CI,cwECE (MT),0.03051216272647276,0.016432323758680457,0.01441978931576505
MAP_CI,cwECE (WNT),0.009867576846402371,0.005489240252160526,0.0044196300835360105
MAP_CI,cwECE (MNT),0.005893234041765367,0.00239934292640872,0.0021566290111120334
MAP_CI,NLL,0.34604873976628386,0.14448920967582343,0.12712294960640358
MAP_CI,ECE (W),0.03659340794706506,0.020218725116569906,0.012934277444082268
MAP_CI,ECE (M),0.035413474129950204,0.02000747033156743,0.011528650530188223
MAP_CI,cwECE (WT),0.05653753416941247,0.03601263845217913,0.030687412927451398
MAP_CI,cwECE (MT),0.03051216272647276,0.016432323758680457,0.01441978931576505
MAP_CI,cwECE (WNT),0.009867576846402371,0.005489240252160526,0.0044196300835360105
MAP_CI,cwECE (MNT),0.005893234041765367,0.00239934292640872,0.0021566290111120334
MAP_CI,NLL,0.34604873976628386,0.14448920967582343,0.12712294960640358
uncal_MAP_CI,ECE (W),0.05708965210191676,0.025689966949265466,0.018806780016766715
uncal_MAP_CI,ECE (M),0.057044694462644985,0.024070394982983252,0.01648267711101623
uncal_MAP_CI,cwECE (WT),0.07233726196762183,0.03857798794687636,0.036463408801963644
uncal_MAP_CI,cwECE (MT),0.041972098084071194,0.02030592841742957,0.01681019929482283
uncal_MAP_CI,cwECE (WNT),0.013202501320561227,0.006166615030961527,0.005471098396012246
uncal_MAP_CI,cwECE (MNT),0.007763109797197644,0.0029299851478609335,0.00274567918449171
uncal_MAP_CI,NLL,0.39463202996590946,0.16892103840736475,0.14419909143886014
MAP_CI,ECE (W),0.027959147455112833,0.018351398918516938,0.011163774932728335
MAP_CI,ECE (M),0.027851057654689797,0.018375124928407035,0.01032720934851435
MAP_CI,cwECE (WT),0.05224840189908092,0.03411274164346349,0.031169467855188614
MAP_CI,cwECE (MT),0.024726438180808816,0.014097326711410266,0.011578999626479066
MAP_CI,cwECE (WNT),0.008991455966461972,0.005070814993296191,0.00419264782614557
MAP_CI,cwECE (MNT),0.0056944039349582695,0.0020997650714113295,0.0018937760156300162
MAP_CI,NLL,0.33723341650325545,0.138536579230462,0.12371133784164523
MAP_CI,ECE (W),0.027959147455112833,0.018351398918516938,0.011163774932728335
MAP_CI,ECE (M),0.027851057654689797,0.018375124928407035,0.01032720934851435
MAP_CI,cwECE (WT),0.05224840189908092,0.03411274164346349,0.031169467855188614
MAP_CI,cwECE (MT),0.024726438180808816,0.014097326711410266,0.011578999626479066
MAP_CI,cwECE (WNT),0.008991455966461972,0.005070814993296191,0.00419264782614557
MAP_CI,cwECE (MNT),0.0056944039349582695,0.0020997650714113295,0.0018937760156300162
MAP_CI,NLL,0.33723341650325545,0.138536579230462,0.12371133784164523
uncal_MAP_CI,ECE (W),0.052208231009474755,0.023325673412735358,0.015171316956445375
uncal_MAP_CI,ECE (M),0.049919926672276696,0.020948490203092442,0.013434094415863691
uncal_MAP_CI,cwECE (WT),0.06751641154853691,0.04033718954573179,0.03392462562408661
uncal_MAP_CI,cwECE (MT),0.03863603663541752,0.01856366011700484,0.014519042158418632
uncal_MAP_CI,cwECE (WNT),0.012306161056337323,0.0061795634256313365,0.005063983115289269
uncal_MAP_CI,cwECE (MNT),0.008057157204124542,0.0022891986123615374,0.002203768212142188
uncal_MAP_CI,NLL,0.3837987810039156,0.1606653914087532,0.13882535733978213
MAP_CI,ECE (W),0.03127580462128998,0.017859338925366668,0.011911026652458231
MAP_CI,ECE (M),0.030557973640612312,0.017365961646319445,0.007910158588448193
MAP_CI,cwECE (WT),0.05231390258911776,0.03576304018754617,0.03174017741842366
MAP_CI,cwECE (MT),0.027314532106798683,0.017841817874597477,0.01538756277057603
MAP_CI,cwECE (WNT),0.009647769753199082,0.0053232161304199496,0.004293731059835567
MAP_CI,cwECE (MNT),0.005676744051020756,0.002801814525968667,0.0025778457511893738
MAP_CI,NLL,0.3779639434812033,0.15049756771967582,0.13403868800306648
