calibration method,metric,model,comb,comb (post cal)
MAP_CI,ECE (W),0.027557886906267506,0.01730391796912463,0.01357972775970926
MAP_CI,ECE (M),0.022457106391309656,0.01711190008170319,0.011920350900045765
MAP_CI,cwECE (WT),0.050865081613921836,0.03037930440904537,0.028027661754505623
MAP_CI,cwECE (MT),0.017975310528596578,0.012703653513229496,0.010681452635780268
MAP_CI,cwECE (WNT),0.007596353304032262,0.004386454041669162,0.003784208556490367
MAP_CI,cwECE (MNT),0.0032794923715516663,0.0013762820178315534,0.0013440789473376678
MAP_CI,NLL,0.21790023337863487,0.11607205441424447,0.10005484654478355
MAP_CI,ECE (W),0.027557886906267506,0.01730391796912463,0.01357972775970926
MAP_CI,ECE (M),0.022457106391309656,0.01711190008170319,0.011920350900045765
MAP_CI,cwECE (WT),0.050865081613921836,0.03037930440904537,0.028027661754505623
MAP_CI,cwECE (MT),0.017975310528596578,0.012703653513229496,0.010681452635780268
MAP_CI,cwECE (WNT),0.007596353304032262,0.004386454041669162,0.003784208556490367
MAP_CI,cwECE (MNT),0.0032794923715516663,0.0013762820178315534,0.0013440789473376678
MAP_CI,NLL,0.21790023337863487,0.11607205441424447,0.10005484654478355
uncal_MAP_CI,ECE (W),0.034815748548464226,0.019780637909244624,0.015062848571130188
uncal_MAP_CI,ECE (M),0.03417249972903363,0.0163152815455009,0.011749230729891492
uncal_MAP_CI,cwECE (WT),0.056826982303186925,0.03281635741352244,0.03135556166084679
uncal_MAP_CI,cwECE (MT),0.029198514750918447,0.015257848982902177,0.013944631411728123
uncal_MAP_CI,cwECE (WNT),0.00936239555450438,0.004953379392183164,0.004453081870661221
uncal_MAP_CI,cwECE (MNT),0.00377453214444022,0.0016346447520959237,0.0016224277605729504
uncal_MAP_CI,NLL,0.25426406256951595,0.1363797623830852,0.11409987378252896
MAP_CI,ECE (W),0.022652797761079826,0.014057284240077524,0.011485710371381812
MAP_CI,ECE (M),0.021623239666844735,0.013550118459260805,0.00859111458146736
MAP_CI,cwECE (WT),0.03988611042685482,0.02954696104375567,0.030785708719556708
MAP_CI,cwECE (MT),0.018608748656293844,0.014483253081240391,0.012708294392205777
MAP_CI,cwECE (WNT),0.006438276935259756,0.004080120040064117,0.0037883159691391908
MAP_CI,cwECE (MNT),0.0032915970196738,0.0019925182274747382,0.0019297935057610727
MAP_CI,NLL,0.19983281030421055,0.09670378394589227,0.08482957405523009
MAP_CI,ECE (W),0.022652797761079826,0.014057284240077524,0.011485710371381812
MAP_CI,ECE (M),0.021623239666844735,0.013550118459260805,0.00859111458146736
MAP_CI,cwECE (WT),0.03988611042685482,0.02954696104375567,0.030785708719556708
MAP_CI,cwECE (MT),0.018608748656293844,0.014483253081240391,0.012708294392205777
MAP_CI,cwECE (WNT),0.006438276935259756,0.004080120040064117,0.0037883159691391908
MAP_CI,cwECE (MNT),0.0032915970196738,0.0019925182274747382,0.0019297935057610727
MAP_CI,NLL,0.19983281030421055,0.09670378394589227,0.08482957405523009
uncal_MAP_CI,ECE (W),0.03148133301818985,0.019602568646391705,0.015053274617179858
uncal_MAP_CI,ECE (M),0.02615338952031041,0.01765723714953033,0.013440499395966803
uncal_MAP_CI,cwECE (WT),0.04618915026538878,0.031679825922043874,0.03060084960390962
uncal_MAP_CI,cwECE (MT),0.02654015978543055,0.015555184041572346,0.01458771301424481
uncal_MAP_CI,cwECE (WNT),0.007889195784447196,0.004618197238485248,0.00420917821982837
uncal_MAP_CI,cwECE (MNT),0.0037699471679249045,0.0022670096524312587,0.002208643259499529
uncal_MAP_CI,NLL,0.23129498066433538,0.11371704714231978,0.09632511433924026
MAP_CI,ECE (W),0.023346470991868457,0.014425745754188476,0.009602276688054159
MAP_CI,ECE (M),0.02318345895089766,0.013862216455696231,0.008808451729668597
MAP_CI,cwECE (WT),0.046606715149415195,0.028541729635958156,0.027539550132455813
MAP_CI,cwECE (MT),0.018781224451449693,0.011446577053872817,0.011468235540561356
MAP_CI,cwECE (WNT),0.007275244576797429,0.003936792677821042,0.003599978629804668
MAP_CI,cwECE (MNT),0.0035661030702307467,0.0011851028529587908,0.001210910786302504
MAP_CI,NLL,0.20496343466007572,0.09056175312646485,0.08088592973107252
MAP_CI,ECE (W),0.023346470991868457,0.014425745754188476,0.009602276688054159
MAP_CI,ECE (M),0.02318345895089766,0.013862216455696231,0.008808451729668597
MAP_CI,cwECE (WT),0.046606715149415195,0.028541729635958156,0.027539550132455813
MAP_CI,cwECE (MT),0.018781224451449693,0.011446577053872817,0.011468235540561356
MAP_CI,cwECE (WNT),0.007275244576797429,0.003936792677821042,0.003599978629804668
MAP_CI,cwECE (MNT),0.0035661030702307467,0.0011851028529587908,0.001210910786302504
MAP_CI,NLL,0.20496343466007572,0.09056175312646485,0.08088592973107252
uncal_MAP_CI,ECE (W),0.03683627083754989,0.018197021807599995,0.015648883137320994
uncal_MAP_CI,ECE (M),0.03498204513022227,0.01742088208868235,0.012677900538893599
uncal_MAP_CI,cwECE (WT),0.05529068747322804,0.030596328944042638,0.030037938433141842
uncal_MAP_CI,cwECE (MT),0.027884753427545077,0.01452500354585604,0.012654853204909878
uncal_MAP_CI,cwECE (WNT),0.009183611327632372,0.004593621524337729,0.004139905161036697
uncal_MAP_CI,cwECE (MNT),0.004200683790740551,0.001439830899703759,0.001452815867766104
uncal_MAP_CI,NLL,0.23701340325368794,0.10368817807174255,0.08916797435896708
MAP_CI,ECE (W),0.01957358465494722,0.013434440915831791,0.008121164097812517
MAP_CI,ECE (M),0.018487119183492346,0.013056187881375175,0.008006558233671579
MAP_CI,cwECE (WT),0.042032030719046945,0.026002737775768465,0.023691779950968904
MAP_CI,cwECE (MT),0.014202989262407146,0.01158443553998136,0.00977590674233336
MAP_CI,cwECE (WNT),0.006286566015769973,0.0036454921431428567,0.0031891099716029594
MAP_CI,cwECE (MNT),0.00262742984350032,0.0013304934792702902,0.00131289133835146
MAP_CI,NLL,0.1891240599795183,0.08536265707123454,0.07636182260050431
MAP_CI,ECE (W),0.01957358465494722,0.013434440915831791,0.008121164097812517
MAP_CI,ECE (M),0.018487119183492346,0.013056187881375175,0.008006558233671579
MAP_CI,cwECE (WT),0.042032030719046945,0.026002737775768465,0.023691779950968904
MAP_CI,cwECE (MT),0.014202989262407146,0.01158443553998136,0.00977590674233336
MAP_CI,cwECE (WNT),0.006286566015769973,0.0036454921431428567,0.0031891099716029594
MAP_CI,cwECE (MNT),0.00262742984350032,0.0013304934792702902,0.00131289133835146
MAP_CI,NLL,0.1891240599795183,0.08536265707123454,0.07636182260050431
uncal_MAP_CI,ECE (W),0.02685169739167772,0.01649719267787121,0.0151407069185544
uncal_MAP_CI,ECE (M),0.023426346522294732,0.015653475632476675,0.011165363499938496
uncal_MAP_CI,cwECE (WT),0.04783125905883369,0.03072018672911984,0.029028694694774138
uncal_MAP_CI,cwECE (MT),0.023195463979293098,0.015064440050359496,0.01201173467522292
uncal_MAP_CI,cwECE (WNT),0.007810500255012237,0.004391913800593464,0.003896492434295619
uncal_MAP_CI,cwECE (MNT),0.0032618155994862215,0.0013251830717542666,0.0013330403413127614
uncal_MAP_CI,NLL,0.2182962713078009,0.09812663845883825,0.08443593187422736
MAP_CI,ECE (W),0.022697294078846957,0.01452827763622495,0.010619781259021618
MAP_CI,ECE (M),0.01947261322796633,0.012760976657364793,0.007289538771973404
MAP_CI,cwECE (WT),0.04398556722518797,0.028816613288896342,0.023795273037874425
MAP_CI,cwECE (MT),0.020627656557048506,0.011715666546732364,0.010118952358030345
MAP_CI,cwECE (WNT),0.0069084639064339315,0.004070275656885656,0.003228409945800288
MAP_CI,cwECE (MNT),0.003531629964865027,0.0014784409128547062,0.0015903468220545502
MAP_CI,NLL,0.22083430817533503,0.10412680003723214,0.09143383150274528
MAP_CI,ECE (W),0.022697294078846957,0.01452827763622495,0.010619781259021618
MAP_CI,ECE (M),0.01947261322796633,0.012760976657364793,0.007289538771973404
MAP_CI,cwECE (WT),0.04398556722518797,0.028816613288896342,0.023795273037874425
MAP_CI,cwECE (MT),0.020627656557048506,0.011715666546732364,0.010118952358030345
MAP_CI,cwECE (WNT),0.0069084639064339315,0.004070275656885656,0.003228409945800288
MAP_CI,cwECE (MNT),0.003531629964865027,0.0014784409128547062,0.0015903468220545502
MAP_CI,NLL,0.22083430817533503,0.10412680003723214,0.09143383150274528
uncal_MAP_CI,ECE (W),0.03341827963165381,0.018482459831056078,0.01326072733663013
uncal_MAP_CI,ECE (M),0.03151684696676076,0.016480501452426886,0.011898816343394365
uncal_MAP_CI,cwECE (WT),0.052675022055042944,0.03172867930621622,0.030103915001896984
uncal_MAP_CI,cwECE (MT),0.027798105279043517,0.013347486675687215,0.010765450502144606
uncal_MAP_CI,cwECE (WNT),0.008806652305229302,0.004587409391751256,0.003982566027727009
uncal_MAP_CI,cwECE (MNT),0.0040198063566492396,0.001339075022653296,0.001411517346004689
uncal_MAP_CI,NLL,0.2567480040940811,0.12466257668820424,0.10561248921413928
MAP_CI,ECE (W),0.02253391878869649,0.015397746296782547,0.009847350592959922
MAP_CI,ECE (M),0.020597211968145717,0.012844256520806209,0.008371808802724734
MAP_CI,cwECE (WT),0.0414402098835374,0.029068769456070426,0.02563854250280313
MAP_CI,cwECE (MT),0.01924721286064133,0.011710893976370146,0.008560662086486481
MAP_CI,cwECE (WNT),0.006906550983877808,0.004143644326907275,0.003510350618444608
MAP_CI,cwECE (MNT),0.003204773626579077,0.0012480640971819386,0.0012218658643683906
MAP_CI,NLL,0.2123786395860042,0.10194931491366094,0.08855027407116609
MAP_CI,ECE (W),0.02253391878869649,0.015397746296782547,0.009847350592959922
MAP_CI,ECE (M),0.020597211968145717,0.012844256520806209,0.008371808802724734
MAP_CI,cwECE (WT),0.0414402098835374,0.029068769456070426,0.02563854250280313
MAP_CI,cwECE (MT),0.01924721286064133,0.011710893976370146,0.008560662086486481
MAP_CI,cwECE (WNT),0.006906550983877808,0.004143644326907275,0.003510350618444608
MAP_CI,cwECE (MNT),0.003204773626579077,0.0012480640971819386,0.0012218658643683906
MAP_CI,NLL,0.2123786395860042,0.10194931491366094,0.08855027407116609
uncal_MAP_CI,ECE (W),0.03413611497670496,0.020069665397318557,0.015537752801409878
uncal_MAP_CI,ECE (M),0.032429299055825214,0.01841529232212859,0.014400262307634791
uncal_MAP_CI,cwECE (WT),0.05184176653371286,0.032719313373187855,0.02966568868955318
uncal_MAP_CI,cwECE (MT),0.02993447404645232,0.013828306312189408,0.011483478333539358
uncal_MAP_CI,cwECE (WNT),0.008853578876549967,0.004747803798510896,0.004231069708101905
uncal_MAP_CI,cwECE (MNT),0.0036326011804050976,0.001201459039523327,0.0012263544675811555
uncal_MAP_CI,NLL,0.2481226216546802,0.12386556171724716,0.10399544273104812
MAP_CI,ECE (W),0.022708894207420796,0.01290258891382305,0.010691579569366874
MAP_CI,ECE (M),0.018368492321889036,0.011228805379900422,0.006107009889168985
MAP_CI,cwECE (WT),0.0461330526510288,0.027349207451923978,0.030485554599238053
