calibration method,metric,model,comb
none,ECE (W),0.028971460014581712,0.017101468993151188
none,ECE (M),0.02673863425850868,0.01648179710313941
none,cwECE (WT),0.04023165116815906,0.022959604565215962
none,cwECE (MT),0.02406931440706511,0.015552913543787275
none,cwECE (WNT),0.006635107096038357,0.0038973278496156226
none,cwECE (MNT),0.0027868076517539486,0.0016897999117660145
none,NLL,0.19136625612318417,0.4783336988359189
confusion,ECE (W),0.006373625483581095,0.015008559632883941
confusion,ECE (M),0.00800244794635004,0.015114074923495138
confusion,cwECE (WT),0.008199108704449265,0.02368744646612689
confusion,cwECE (MT),0.008199108704449265,0.012658361604663007
confusion,cwECE (WNT),0.0020371488430633716,0.0036732370606560537
confusion,cwECE (MNT),0.0027798504279492966,0.0020171157037004485
confusion,NLL,0.5927883680079558,0.8057005665795671
temperature scaling,ECE (W),0.010741350409288001,0.01368537301491575
temperature scaling,ECE (M),0.012404112488180472,0.012365029270500571
temperature scaling,cwECE (WT),0.03356687784373089,0.02648596829923929
temperature scaling,cwECE (MT),0.01462762526308504,0.010963837406332952
temperature scaling,cwECE (WNT),0.004694708308934326,0.0038226082040825706
temperature scaling,cwECE (MNT),0.0030889759378628884,0.0015457964570565075
temperature scaling,NLL,0.13425135606680244,0.4597181260360854
ensemble temperature scaling,ECE (W),0.011107383336653252,0.01349337445689584
ensemble temperature scaling,ECE (M),0.00931139787034156,0.012931142588245466
ensemble temperature scaling,cwECE (WT),0.03477346535037619,0.025975295288947653
ensemble temperature scaling,cwECE (MT),0.016245149198393323,0.010975796414947326
ensemble temperature scaling,cwECE (WNT),0.004868593796578821,0.0037526010448231117
ensemble temperature scaling,cwECE (MNT),0.0035377811451695407,0.001466381712151585
ensemble temperature scaling,NLL,0.13431678877790307,0.46094737684586473
imax binning,ECE (W),0.008885636925792783,0.013290716784217409
imax binning,ECE (M),0.008289558494420333,0.012492512726991322
imax binning,cwECE (WT),0.029287305048079103,0.020485027015596013
imax binning,cwECE (MT),0.014410508462353335,0.013731418292642437
imax binning,cwECE (WNT),0.004090212879580307,0.0034085256201856146
imax binning,cwECE (MNT),0.002183506635382201,0.0014922318487839046
imax binning,NLL,0.13601056589879176,0.4615133390400307
none,ECE (W),0.024820874174435965,0.015736832155228465
none,ECE (M),0.022898593803246825,0.015301209957270748
none,cwECE (WT),0.03457837802701606,0.021747668942598854
none,cwECE (MT),0.020249623021511703,0.014141163597444897
none,cwECE (WNT),0.005724378632867585,0.003741841217690447
none,cwECE (MNT),0.0025403566637290684,0.0015518201108191687
none,NLL,0.17477165888523521,0.5474900591870406
confusion,ECE (W),0.0034669363022594283,0.01293980118852426
confusion,ECE (M),0.009227229476501089,0.010754804524047331
