calibration method,metric,model,comb
none,ECE (W),0.030581453412771204,0.020960373032505357
none,ECE (M),0.030187114447355275,0.01887397118459528
none,cwECE (WT),0.04763450682706659,0.02885269604336993
none,cwECE (MT),0.02601562399845369,0.015370557719492176
none,cwECE (WNT),0.007818771258230764,0.004520310211283886
none,cwECE (MNT),0.002724249964971951,0.0015543213914851817
none,NLL,0.2338079958107012,0.5623402584891338
confusion,ECE (W),0.003238942285940427,0.009459970935164118
confusion,ECE (M),0.017123934317349498,0.007562237443687775
confusion,cwECE (WT),0.01721494423499269,0.021451562875551666
confusion,cwECE (MT),0.01721494423499269,0.011626108431782942
confusion,cwECE (WNT),0.0026187091484436292,0.0033133393810806946
confusion,cwECE (MNT),0.0043855575544985235,0.0023004782639807863
confusion,NLL,0.7405540998371392,1.0292446340900037
temperature scaling,ECE (W),0.008376375860945579,0.012260485097739544
temperature scaling,ECE (M),0.006291364930814851,0.009850873684075678
temperature scaling,cwECE (WT),0.035041156538217114,0.022239492743503668
temperature scaling,cwECE (MT),0.011735839579926736,0.011951338465508853
temperature scaling,cwECE (WNT),0.005262664369083109,0.003379607872745323
temperature scaling,cwECE (MNT),0.002611905672455057,0.0014643983462070311
temperature scaling,NLL,0.16722388768950347,0.5688599850722046
ensemble temperature scaling,ECE (W),0.008256618494262473,0.012160174073865309
ensemble temperature scaling,ECE (M),0.005007722691643241,0.009352534278447046
ensemble temperature scaling,cwECE (WT),0.03281101547739039,0.022754639590587815
ensemble temperature scaling,cwECE (MT),0.01175542486274167,0.01194176476557018
ensemble temperature scaling,cwECE (WNT),0.004977467418333015,0.0034135870588452286
ensemble temperature scaling,cwECE (MNT),0.0027162163631698592,0.0014777972559572668
ensemble temperature scaling,NLL,0.16707980168472372,0.5688543715086781
imax binning,ECE (W),0.004144021877649848,0.013909882185164106
imax binning,ECE (M),0.0013260944187194364,0.012383583067433496
imax binning,cwECE (WT),0.03343439330358311,0.02220330198420325
imax binning,cwECE (MT),0.012353380688532312,0.013017706095835482
imax binning,cwECE (WNT),0.005120953365971919,0.003522792980390905
imax binning,cwECE (MNT),0.0022643312064038203,0.001671179204708956
imax binning,NLL,0.17443212967477492,0.573928223079319
none,ECE (W),0.032317355046669674,0.019585937159873272
none,ECE (M),0.030828412959973017,0.019585952731653408
none,cwECE (WT),0.04743189943784003,0.02862311168821659
none,cwECE (MT),0.027866888575071753,0.015810403710451563
none,cwECE (WNT),0.007916808242791895,0.004474038385346954
none,cwECE (MNT),0.00301622232818054,0.0016539385833055239
none,NLL,0.23261093871905514,0.4879273286382316
confusion,ECE (W),0.0004411195084308663,0.010633075687303616
confusion,ECE (M),0.008079712299433533,0.009168034720430719
confusion,cwECE (WT),0.008137295379191545,0.02669320429649703
confusion,cwECE (MT),0.008137295379191545,0.01132046589568765
confusion,cwECE (WNT),0.0018318208298768138,0.0037233877245943002
confusion,cwECE (MNT),0.0031752009934169064,0.0019025680600310401
confusion,NLL,0.37909585082810304,0.6194204050104458
temperature scaling,ECE (W),0.008015525986084761,0.011596364213574026
temperature scaling,ECE (M),0.007463453222826235,0.008551123413383606
temperature scaling,cwECE (WT),0.03725779585177595,0.022602632701050146
temperature scaling,cwECE (MT),0.012372272850372892,0.010027022632983055
temperature scaling,cwECE (WNT),0.005474703844631388,0.00323780055365878
temperature scaling,cwECE (MNT),0.0028430615028459975,0.0014353770915901925
temperature scaling,NLL,0.16251597293629957,0.4863454915056747
ensemble temperature scaling,ECE (W),0.005581050582309678,0.011456113698300359
ensemble temperature scaling,ECE (M),0.0076732278527890585,0.00776658480936495
ensemble temperature scaling,cwECE (WT),0.03619372700876274,0.022025923484497036
ensemble temperature scaling,cwECE (MT),0.012899585793973434,0.009571438937599718
ensemble temperature scaling,cwECE (WNT),0.005424577939966581,0.003097428475762024
ensemble temperature scaling,cwECE (MNT),0.002995153525154298,0.0014399596599015492
ensemble temperature scaling,NLL,0.16347983545340591,0.487762274612415
imax binning,ECE (W),0.004904146060158534,0.012733908435167095
imax binning,ECE (M),0.006596453752466138,0.010129074459385835
imax binning,cwECE (WT),0.02678471752990173,0.021234013886579715
imax binning,cwECE (MT),0.014363062418022423,0.009940363290604349
imax binning,cwECE (WNT),0.004212388106720094,0.003221072884487635
imax binning,cwECE (MNT),0.00256930543204995,0.0013556385680880642
imax binning,NLL,0.17647967772577192,0.4929838166843203
none,ECE (W),0.031488400499026,0.01851238860692982
none,ECE (M),0.030872632066408792,0.016180381288602733
none,cwECE (WT),0.04572275466348758,0.026299541405926396
none,cwECE (MT),0.027179268490964876,0.016195705576375553
none,cwECE (WNT),0.007919157731209495,0.004307936579323982
none,cwECE (MNT),0.0030176678157974855,0.001575515527346774
none,NLL,0.22098004242669556,0.291209765347085
confusion,ECE (W),0.003623933137445955,0.01250443632748361
confusion,ECE (M),0.0064785937993720455,0.012248107411670884
confusion,cwECE (WT),0.006526282169783104,0.02566157291744895
confusion,cwECE (MT),0.006526282169783104,0.014487286079011752
confusion,cwECE (WNT),0.0022935487126511138,0.0039047031317993794
confusion,cwECE (MNT),0.0035775999060840384,0.002528789588969009
confusion,NLL,0.6270971405199001,0.6666320969668816
temperature scaling,ECE (W),0.00867867630923319,0.011484684634302406
temperature scaling,ECE (M),0.005658268620325931,0.010726791621133849
temperature scaling,cwECE (WT),0.03569037694088193,0.02058809119334354
temperature scaling,cwECE (MT),0.013679835503170484,0.011780840244247356
temperature scaling,cwECE (WNT),0.005273650383618248,0.0031716423726643544
temperature scaling,cwECE (MNT),0.0028141709638766187,0.0013020203376140575
temperature scaling,NLL,0.1581255668534708,0.2984018637779662
ensemble temperature scaling,ECE (W),0.008584900806511217,0.010529600269507116
ensemble temperature scaling,ECE (M),0.007141405158422871,0.010192709317043603
ensemble temperature scaling,cwECE (WT),0.036916775528092485,0.021689990281671546
ensemble temperature scaling,cwECE (MT),0.01504590151564109,0.011807686159287453
ensemble temperature scaling,cwECE (WNT),0.005422110248434456,0.003301017765852853
