calibration method,metric,model,comb
none,ECE (W),0.05364882666666723,0.016783699864085816
none,ECE (M),0.0536082733333332,0.016721551613331928
none,cwECE (WT),0.06634778415219339,0.03496596813604616
none,cwECE (MT),0.04362384818265291,0.015674837344577686
none,cwECE (WNT),0.012664196428413465,0.005025282305328506
none,cwECE (MNT),0.008345092910669177,0.001726814092951762
none,NLL,0.41152404203521104,0.35534985519308454
confusion,ECE (W),0.008393273012012035,0.010121693636760087
confusion,ECE (M),0.015624876443770334,0.0056845186600011696
confusion,cwECE (WT),0.015613570711522983,0.023079969643324517
confusion,cwECE (MT),0.015613570711522983,0.014619754680935126
confusion,cwECE (WNT),0.0031487044488869007,0.003537661635303703
confusion,cwECE (MNT),0.005358218064066627,0.0024665007114460552
confusion,NLL,0.6858307226535644,0.5027485244466411
temperature scaling,ECE (W),0.0074143747460518675,0.013669761246000115
temperature scaling,ECE (M),0.007112864635502064,0.012148550037100442
temperature scaling,cwECE (WT),0.04268567566306754,0.02860790271077158
temperature scaling,cwECE (MT),0.02307689111834025,0.012388793539432733
temperature scaling,cwECE (WNT),0.00676730103043056,0.003920330769488518
temperature scaling,cwECE (MNT),0.004331681104157212,0.0018119023771354932
temperature scaling,NLL,0.3370738204567062,0.32712532786049753
ensemble temperature scaling,ECE (W),0.010669789816194304,0.012918071880670859
ensemble temperature scaling,ECE (M),0.007519424663593246,0.01122288781193156
ensemble temperature scaling,cwECE (WT),0.04284700872767928,0.028084971884004124
ensemble temperature scaling,cwECE (MT),0.023893019696667635,0.012386573247420119
ensemble temperature scaling,cwECE (WNT),0.0066809829353465956,0.003835634530815712
ensemble temperature scaling,cwECE (MNT),0.004867513625744479,0.0018206278685646924
ensemble temperature scaling,NLL,0.34034751530337976,0.32810751914688663
imax binning,ECE (W),0.009399346814253848,0.013074123731539803
imax binning,ECE (M),0.008527673614336442,0.013157131082967373
imax binning,cwECE (WT),0.038506528910533785,0.026713540821278324
imax binning,cwECE (MT),0.024656346540798384,0.01399100631940004
imax binning,cwECE (WNT),0.006173416766533668,0.0037703108313832203
imax binning,cwECE (MNT),0.0044163150040123665,0.0018851847229357447
imax binning,NLL,0.348043787102997,0.33185893656635207
none,ECE (W),0.05471237999999849,0.02184974905886837
none,ECE (M),0.05283753999999981,0.020317546703437
none,cwECE (WT),0.07179326725947749,0.036122533759939485
none,cwECE (MT),0.04170903054379605,0.018293834588741974
none,cwECE (WNT),0.013366843936063109,0.0055516890090883545
none,cwECE (MNT),0.00876729297547686,0.0023273766762951457
none,NLL,0.4106254671222331,0.5265744940656842
confusion,ECE (W),0.009266401450180354,0.012873026040741755
