calibration method,metric,model,comb
none,ECE (W),0.03481575495004652,0.018383268202083858
none,ECE (M),0.034172575493653615,0.018383345224900986
none,cwECE (WT),0.05682698831687525,0.03126060792729596
none,cwECE (MT),0.02919851218260635,0.016036001855676614
none,cwECE (WNT),0.009362396208476568,0.004694055525852304
none,cwECE (MNT),0.0037748041995840503,0.001443358765019499
none,NLL,0.2542640560878255,0.259566590769886
confusion,ECE (W),0.005605163585350261,0.01700051108985097
confusion,ECE (M),0.016127545488572283,0.011396715709889791
confusion,cwECE (WT),0.01650569096311978,0.03193435067504198
confusion,cwECE (MT),0.01650569096311978,0.01627014724211847
confusion,cwECE (WNT),0.0026631019678114046,0.0044465232537969
confusion,cwECE (MNT),0.0046051326395866185,0.0025113405603049144
confusion,NLL,0.5318359122760874,0.5220220911766661
temperature scaling,ECE (W),0.014716145983374982,0.014533096029999245
temperature scaling,ECE (M),0.013616361821968832,0.013992907379162466
temperature scaling,cwECE (WT),0.040772149386366335,0.025897114694820866
temperature scaling,cwECE (MT),0.011724009303460996,0.012798245804680381
temperature scaling,cwECE (WNT),0.005867540851471684,0.0039059017942834422
temperature scaling,cwECE (MNT),0.0026032315304671313,0.0013247548405290004
temperature scaling,NLL,0.2018165375088784,0.3073569273719719
ensemble temperature scaling,ECE (W),0.011156511460748008,0.014517219944845096
ensemble temperature scaling,ECE (M),0.013527287578576333,0.013619675276614356
ensemble temperature scaling,cwECE (WT),0.042180396208959726,0.027657450357073222
ensemble temperature scaling,cwECE (MT),0.013398411676702277,0.012198763297802308
ensemble temperature scaling,cwECE (WNT),0.0059677567212657445,0.004039836796281332
ensemble temperature scaling,cwECE (MNT),0.0031369904115527494,0.0013414897163559463
ensemble temperature scaling,NLL,0.20518338393758223,0.31432402341454446
imax binning,ECE (W),0.011936315162119404,0.016029024307378254
imax binning,ECE (M),0.012348608215847205,0.014737067529695991
imax binning,cwECE (WT),0.035134885630599,0.02542862798112533
imax binning,cwECE (MT),0.011723905487810304,0.014175840590936887
imax binning,cwECE (WNT),0.00508724789342629,0.004014898081885527
imax binning,cwECE (MNT),0.002427215580044293,0.0012560507441050626
imax binning,NLL,0.2121501895982231,0.3184081223796502
none,ECE (W),0.03148133948445324,0.01579099323338272
none,ECE (M),0.026153384695450456,0.015191095787661283
none,cwECE (WT),0.04618915614271375,0.02894301319419873
none,cwECE (MT),0.026540156994888413,0.014236901797955236
none,cwECE (WNT),0.007889196404098473,0.004110004235435511
none,cwECE (MNT),0.0037143775455684494,0.0018284852687753723
none,NLL,0.23129497403112453,0.17074839581047566
confusion,ECE (W),0.008614180937905239,0.007917534851316915
confusion,ECE (M),0.01643203901194687,0.007288707808859737
confusion,cwECE (WT),0.016483310702182195,0.021067260610567774
confusion,cwECE (MT),0.016483310702182195,0.011473574050742494
